// Compost colors for vct. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_crafting_table_minecart, #9a7d5f
runewood_crafting_table_minecart, #6b6c69
sg_netherwood_crafting_table_minecart, #7f5a58
skyroot_crafting_table_minecart, #51a5a5
smogstem_crafting_table_minecart, #6b7270
sortingwood_crafting_table_minecart, #665e55
soulblight_crafting_table_minecart, #898278
soulwood_crafting_table_minecart, #736670
spruce_crafting_table_minecart, #806e5b
stripped_bamboo_crafting_table_minecart, #9b9376
strophar_crafting_table_minecart, #828278
tecal_azalea_crafting_table_minecart, #766c64
timewood_crafting_table_minecart, #7f6f65
titanium_azalea_crafting_table_minecart, #7d7c75
towerwood_crafting_table_minecart, #836f5e
transwood_crafting_table_minecart, #908c82
twilight_mangrove_crafting_table_minecart, #8e8978
twilight_oak_crafting_table_minecart, #827062
twisted_crafting_table_minecart, #5c8372
verdant_crafting_table_minecart, #5b5e62
walnut_azalea_crafting_table_minecart, #7a7566
walnut_crafting_table_minecart, #867565
warped_crafting_table_minecart, #5a6876
whistlecane_crafting_table_minecart, #865164
wigglewood_crafting_table_minecart, #726b5f
willow_crafting_table_minecart, #737d62
wisteria_crafting_table_minecart, #98978e
yucca_crafting_table_minecart, #947c73
zamites_crafting_table_minecart, #87806c
