// Compost colors for cosmeticarmoursmod. You may add your own colors, change existing ones, or remove colors that aren't needed.
amethyst_crown_helmet, #ffd74b
white_skirt_chestplate, #c2bcbc
white_skirt_leggings, #d6d9d9
winged_angel_halo_helmet, #fefefe
winged_fallen_angel_halo_helmet, #4b3a43
winged_gold_halo_helmet, #eabc2f
witches_hat_helmet, #344136
yellow_plaid_skirt_boots, #cd911e
yellow_plaid_skirt_leggings, #d9d6cf
yellow_skirt_boots, #f1be00
yellow_skirt_chestplate, #f7c200
yellow_skirt_leggings, #d9d6cf
yorkshire_cap_helmet, #989a6f
