// Compost colors for primalmagick. You may add your own colors, change existing ones, or remove colors that aren't needed.
adept_wand_gem_item, #ffffff
essence_shard_sun, #ffffd2
essence_shard_void, #c9aceb
flying_carpet, #ffffff
forbidden_bow, #ffffff
forbidden_sword, #ffffff
forbidden_trident, #7c3234
four_leaf_clover, #43d448
gold_grit, #ffff8e
gold_wand_cap_item, #ffffff
grimoire, #f5e8f7
grimoire_creative, #fffffe
hallowed_orb, #ffffff
hallowood_sapling, #ffffff
hallowsteel_axe, #d7ca97
hallowsteel_bow, #ffffe7
hallowsteel_chest, #ffffbb
hallowsteel_feet, #d2d08e
hallowsteel_fishing_rod, #cfcdab
hallowsteel_head, #bebe82
hallowsteel_hoe, #afa275
hallowsteel_ingot, #ffffff
hallowsteel_legs, #dad994
hallowsteel_nugget, #c3ccbb
hallowsteel_pickaxe, #c2b580
hallowsteel_shovel, #d2c598
hallowsteel_sword, #faf7b5
hallowsteel_trident, #bcb28c
hallowsteel_wand_cap_item, #ffffff
heartwood, #a48e68
heartwood_staff_core_item, #ffffff
heartwood_wand_core_item, #ffffff
hexium_axe, #7d4a39
hexium_bow, #843043
hexium_chest, #7a2c33
hexium_feet, #582329
hexium_fishing_rod, #87555b
hexium_head, #512326
hexium_hoe, #6c4833
hexium_ingot, #e3bcca
hexium_legs, #5a1f23
hexium_nugget, #664048
hexium_pickaxe, #6f4734
hexium_shovel, #875543
hexium_sword, #522525
hexium_trident, #7f4133
hexium_wand_cap_item, #fff0f4
hexweave, #a26880
hexweave_chest, #a25768
hexweave_feet, #842a37
hexweave_head, #47112c
hexweave_legs, #7d253d
humming_artifact_unattuned, #fff7c2
hydromelon_seeds, #776af
hydromelon_slice, #79e6ff
ignyx, #752f2a
imbued_wool_chest, #ffe7be
imbued_wool_feet, #daaf82
imbued_wool_head, #ac8e6c
imbued_wool_legs, #ffd9a8
incense_stick, #847c6c
iron_grit, #ffdabb
iron_wand_cap_item, #ffffff
large_synthetic_amethyst_bud, #e6b4ff
large_synthetic_diamond_bud, #52fbf0
large_synthetic_emerald_bud, #3dff79
large_synthetic_quartz_bud, #fbe8da
magitech_parts_basic, #ffffff
magitech_parts_enchanted, #d6ffff
magitech_parts_forbidden, #d47096
magitech_parts_heavenly, #ffffff
magnifying_glass, #ffffff
mana_prism, #ffffff
mana_salts, #44f1ee
manafruit, #41fae8
medium_synthetic_amethyst_bud, #e1abff
medium_synthetic_diamond_bud, #4dfcee
medium_synthetic_emerald_bud, #3aff7f
medium_synthetic_quartz_bud, #f2e0d2
moonwood_sapling, #ffffff
moonwood_staff_core_item, #ffffff
moonwood_wand_core_item, #ffffff
mystical_relic, #bbbbbb
mystical_relic_fragment, #cccccc
observation_notes, #ffffdd
obsidian_staff_core_item, #ffffff
obsidian_wand_core_item, #ffffff
primal_axe, #ffffff
primal_fishing_rod, #3698b1
primal_hoe, #52b25e
primal_pickaxe, #b4beb6
primal_shovel, #ffffff
primal_staff_core_item, #ffffff
primal_wand_core_item, #ffffff
primalite_axe, #62c3a1
primalite_bow, #36faeb
primalite_chest, #48ffff
primalite_feet, #34f2d6
primalite_fishing_rod, #5ac0b2
primalite_head, #32d7bf
primalite_hoe, #5f9d7c
primalite_ingot, #9affff
primalite_legs, #33f8dc
primalite_nugget, #3eb8a8
primalite_pickaxe, #58af8c
primalite_shovel, #6fc0a0
primalite_sword, #37e6c8
primalite_trident, #6eac87
primalite_wand_cap_item, #f2ffff
pure_primal_staff_core_item, #ffffff
pure_primal_wand_core_item, #ffffff
purpur_staff_core_item, #ffffff
purpur_wand_core_item, #ffffff
quartz_nugget, #ffffff
recall_stone, #41325e
refined_salt, #fffffe
ritual_bell, #2fcddd
rock_salt, #ffffff
rune_absorb, #ffffff
rune_area, #ffffff
rune_blood, #ffffff
rune_creature, #ffffff
rune_dispel, #ffffff
rune_earth, #ffffff
rune_grace, #d4def5
rune_hallowed, #ffffff
rune_infernal, #ffffff
rune_insight, #dee7f5
rune_item, #ffffff
rune_moon, #ffffff
rune_power, #ffffff
rune_project, #ffffff
rune_protect, #ffffff
rune_sea, #ffffff
rune_self, #ffffff
rune_sky, #ffffff
rune_summon, #ffffff
rune_sun, #ffffff
rune_unattuned, #ffffff
rune_void, #ffffff
runic_armor_trim_smithing_template, #6f7d7d
saintswool, #ffffd2
saintswool_chest, #ffffea
saintswool_feet, #ffffcc
saintswool_head, #ebdd90
saintswool_legs, #ffffdc
seascribe_pen, #ffff6b
sheep_tome, #80643a
skyglass_flask, #cde6ff
skyglass_pane, #ffffff
small_synthetic_amethyst_bud, #bb8dff
small_synthetic_diamond_bud, #33e4d7
small_synthetic_emerald_bud, #1bff61
small_synthetic_quartz_bud, #dec9bb
soul_gem, #ffdeff
soul_gem_sliver, #ff75ff
spell_scroll_blank, #fffffa
spell_scroll_filled, #ffffea
spellcloth, #79ffff
spellcloth_chest, #9bffd7
spellcloth_feet, #4edab5
spellcloth_head, #6cc382
spellcloth_legs, #64ffd4
spirit_lantern, #a08791
stained_skyglass_pane_black, #ffffff
stained_skyglass_pane_blue, #ffffff
stained_skyglass_pane_brown, #ffffff
stained_skyglass_pane_cyan, #ffffff
stained_skyglass_pane_gray, #ffffff
stained_skyglass_pane_green, #ffffff
stained_skyglass_pane_light_blue, #ffffff
stained_skyglass_pane_light_gray, #ffffff
stained_skyglass_pane_lime, #ffffff
stained_skyglass_pane_magenta, #ffffff
stained_skyglass_pane_orange, #ffffff
stained_skyglass_pane_pink, #ffffff
stained_skyglass_pane_purple, #ffffff
stained_skyglass_pane_red, #ffffff
stained_skyglass_pane_white, #ffffff
stained_skyglass_pane_yellow, #ffffff
static_book, #874e3a
sunlamp, #bce7aa
sunwood_sapling, #ffffbe
sunwood_staff_core_item, #ffffff
sunwood_wand_core_item, #ffffff
synthetic_amethyst_cluster, #e8b4ff
synthetic_diamond_cluster, #50fff8
synthetic_emerald_cluster, #39ff7a
synthetic_quartz_cluster, #ffeedd
tallow, #fff5b9
theory_notes, #facdc8
treefolk_seed, #b97929
warding_module_basic, #2fffe7
warding_module_greater, #5c3d44
warding_module_supreme, #ffffff
wizard_wand_gem_item, #ffffff
